KG_Pair,k1,b,epsilon,C Hits@1,C Hits@5,C Hits@10,C Hits@20,C Hits@50,P Hits@1,P Hits@5,P Hits@10,P Hits@20,P Hits@50,Total_Time_Seconds
starwars-swtor,1.8,0.0,,0.4,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.16071428571428573,0.39285714285714285,0.5357142857142857,0.6607142857142857,0.8928571428571429,452.912880897522
marvelcinematicuniverse-marvel,1.8,0.3,,0.0,0.0,0.0,0.0,0.5,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.5454545454545454,447.86090898513794
memoryalpha-memorybeta,1.8,0.3,,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.41509433962264153,0.7547169811320755,0.8301886792452831,0.8490566037735849,0.8867924528301887,272.1751730442047
memoryalpha-stexpanded,1.8,0.3,,0.6923076923076923,0.6923076923076923,0.8461538461538461,1.0,1.0,0.43902439024390244,0.7073170731707317,0.8048780487804879,0.8780487804878049,0.926829268292683,166.65694999694824
starwars-swg,1.8,0.3,,0.4,0.6,0.6,0.6,0.8,0.05,0.15,0.3,0.45,0.6,448.1372890472412
starwars-swtor,1.8,0.3,,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.35714285714285715,0.5357142857142857,0.6428571428571429,0.7678571428571429,0.9642857142857143,459.05460500717163
marvelcinematicuniverse-marvel,1.8,0.75,,0.0,0.0,0.0,0.0,0.5,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.5454545454545454,454.6798551082611
memoryalpha-memorybeta,1.8,0.75,,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5660377358490566,0.8113207547169812,0.8490566037735849,0.8867924528301887,0.9056603773584906,276.0995440483093
memoryalpha-stexpanded,1.8,0.75,,0.6153846153846154,0.8461538461538461,1.0,1.0,1.0,0.5121951219512195,0.7560975609756098,0.8292682926829268,0.9024390243902439,0.9512195121951219,167.00714302062988
starwars-swg,1.8,0.75,,0.4,0.6,0.6,0.6,0.8,0.1,0.35,0.4,0.5,0.6,448.18613934516907
